key,date,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KBOS,2019-01-01 05:07:00,observation,1546326420,KBOS,Boston,1546319220,N,39,12,1200,Rain,,,37.0,39.0,93.0,29.92,3.0,30.0,130.0,SE,,17.0,,,,0.04,,Low,30.0,0,,,,,OVC,,,,,,,,,
KBOS,2019-01-01 05:24:00,observation,1546327440,KBOS,Boston,1546320240,N,40,12,1200,Rain,,,37.0,40.0,89.0,29.91,4.0,31.0,140.0,SE,,16.0,,,,0.08,,Low,31.0,0,,,,,OVC,,,,,,,,,
KBOS,2019-01-01 05:54:00,observation,1546329240,KBOS,Boston,1546322040,N,40,11,1201,Light Rain,2.0,Falling Rapidly,38.0,40.0,93.0,29.87,5.0,33.0,150.0,SSE,,13.0,,,,0.14,,Low,33.0,0,,,,,OVC,,,,,,,,,
KBOS,2019-01-01 06:54:00,observation,1546332840,KBOS,Boston,1546325640,N,42,11,1201,Light Rain,,,39.0,42.0,89.0,29.78,5.0,37.0,120.0,ESE,,9.0,,,,0.1,,Low,37.0,0,,,,,OVC,,,,,,,,,
KBOS,2019-01-01 07:54:00,observation,1546336440,KBOS,Boston,1546329240,N,43,11,1201,Light Rain,,,41.0,43.0,93.0,29.65,7.0,37.0,140.0,SE,,12.0,,,,0.13,,Low,37.0,0,,,,,OVC,,,,,,,,,
KBOS,2019-01-01 08:54:00,observation,1546340040,KBOS,Boston,1546332840,N,46,11,1201,Light Rain,2.0,Falling Rapidly,43.0,46.0,89.0,29.54,4.0,42.0,,VAR,,7.0,,,,0.0,,Low,42.0,0,,,,,OVC,,,,,,,,,
KBOS,2019-01-01 09:54:00,observation,1546343640,KBOS,Boston,1546336440,N,47,12,1200,Rain,,,46.0,47.0,97.0,29.49,3.0,44.0,220.0,SW,,6.0,,,,0.02,,Low,44.0,0,,,,,OVC,,,,,,,,,
KBOS,2019-01-01 10:49:00,observation,1546346940,KBOS,Boston,1546339740,N,50,26,2600,Cloudy,,,46.0,50.0,87.0,29.45,10.0,50.0,220.0,SW,,10.0,,,,0.01,,Low,50.0,0,,,,,OVC,,,,,,,,,
KBOS,2019-01-01 10:54:00,observation,1546347240,KBOS,Boston,1546340040,N,50,26,2600,Cloudy,,,48.0,50.0,93.0,29.45,10.0,50.0,220.0,SW,,10.0,,,,0.01,,Low,50.0,0,,,,,OVC,,,,,,,,,
KBOS,2019-01-01 11:12:00,observation,1546348320,KBOS,Boston,1546341120,N,51,26,2600,Cloudy,,,48.0,51.0,89.0,29.44,10.0,51.0,220.0,SW,,15.0,,,,0.0,,Low,51.0,0,,,,,OVC,,,,,,,,,
KBOS,2019-01-01 11:54:00,observation,1546350840,KBOS,Boston,1546343640,D,54,28,2800,Mostly Cloudy,2.0,Falling,49.0,54.0,83.0,29.43,10.0,54.0,240.0,WSW,,18.0,,,0.79,0.0,,Low,54.0,0,,,,,BKN,,,,,,,,,
KBOS,2019-01-01 12:14:00,observation,1546352040,KBOS,Boston,1546344840,D,54,30,3000,Partly Cloudy,,,48.0,54.0,80.0,29.43,10.0,54.0,230.0,SW,,18.0,,,,0.0,,Low,54.0,0,,,,,SCT,,,,,,,,,
KBOS,2019-01-01 12:54:00,observation,1546354440,KBOS,Boston,1546347240,D,54,28,2800,Mostly Cloudy,,,48.0,54.0,80.0,29.45,10.0,54.0,240.0,WSW,29.0,18.0,,,,0.0,,Low,54.0,0,,,,,BKN,,,,,,,,,
KBOS,2019-01-01 13:54:00,observation,1546358040,KBOS,Boston,1546350840,D,56,28,2800,Mostly Cloudy,,,48.0,56.0,75.0,29.46,10.0,56.0,240.0,WSW,25.0,15.0,,,,0.0,,Low,56.0,0,,,,,BKN,,,,,,,,,
KBOS,2019-01-01 14:54:00,observation,1546361640,KBOS,Boston,1546354440,D,58,28,2890,Mostly Cloudy / Windy,1.0,Rising Rapidly,47.0,58.0,67.0,29.48,10.0,58.0,250.0,WSW,29.0,22.0,,,,0.0,,Low,58.0,0,,,,,BKN,,,,,,,,,
