key,date,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KDTW,2019-01-01 05:14:00,observation,1546326840,KDTW,Detroit,1546319640,N,40.0,11.0,1201.0,Light Rain,,,36.0,40.0,86.0,28.93,4.0,31.0,290.0,WNW,28.0,16.0,,,,0.0,,Low,31.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 05:40:00,observation,1546328400,KDTW,Detroit,1546321200,N,38.0,11.0,1201.0,Light Rain,,,34.0,38.0,86.0,28.97,3.0,30.0,290.0,WNW,26.0,13.0,,,,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 05:53:00,observation,1546329180,KDTW,Detroit,1546321980,N,38.0,11.0,1201.0,Light Rain,1.0,Rising Rapidly,34.0,38.0,86.0,28.99,3.0,29.0,290.0,WNW,22.0,15.0,,,,0.0,,Low,29.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 06:34:00,observation,1546331640,KDTW,Detroit,1546324440,N,37.0,26.0,2600.0,Cloudy,,,34.0,37.0,89.0,29.05,6.0,30.0,300.0,WNW,21.0,10.0,,,,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 06:53:00,observation,1546332780,KDTW,Detroit,1546325580,N,37.0,26.0,2600.0,Cloudy,,,32.0,37.0,82.0,29.07,8.0,28.0,290.0,WNW,22.0,15.0,,,,0.0,,Low,28.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 07:43:00,observation,1546335780,KDTW,Detroit,1546328580,N,37.0,26.0,2600.0,Cloudy,,,32.0,37.0,82.0,29.16,9.0,28.0,300.0,WNW,,14.0,,,,0.0,,Low,28.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 07:53:00,observation,1546336380,KDTW,Detroit,1546329180,N,37.0,26.0,2600.0,Cloudy,,,32.0,37.0,82.0,29.17,9.0,29.0,300.0,WNW,,12.0,,,,0.0,,Low,29.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 08:53:00,observation,1546339980,KDTW,Detroit,1546332780,N,36.0,26.0,2600.0,Cloudy,1.0,Rising,31.0,36.0,82.0,29.22,10.0,28.0,310.0,NW,,13.0,,,,0.0,,Low,28.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 09:27:00,observation,1546342020,KDTW,Detroit,1546334820,N,36.0,26.0,2600.0,Cloudy,,,31.0,36.0,82.0,29.25,10.0,28.0,300.0,WNW,,10.0,,,,0.0,,Low,28.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 09:48:00,observation,1546343280,KDTW,Detroit,1546336080,N,36.0,26.0,2600.0,Cloudy,,,30.0,36.0,81.0,29.25,10.0,28.0,320.0,NW,,12.0,,,,0.0,,Low,28.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 09:53:00,observation,1546343580,KDTW,Detroit,1546336380,N,36.0,26.0,2600.0,Cloudy,,,30.0,36.0,79.0,29.26,10.0,28.0,320.0,NW,,10.0,,,,0.0,,Low,28.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 10:53:00,observation,1546347180,KDTW,Detroit,1546339980,N,36.0,26.0,2600.0,Cloudy,,,30.0,36.0,79.0,29.34,10.0,30.0,290.0,WNW,,8.0,,,,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 11:53:00,observation,1546350780,KDTW,Detroit,1546343580,N,36.0,26.0,2600.0,Cloudy,1.0,Rising Rapidly,30.0,36.0,79.0,29.39,10.0,30.0,310.0,NW,,7.0,,,0.88,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 12:21:00,observation,1546352460,KDTW,Detroit,1546345260,N,36.0,26.0,2600.0,Cloudy,,,30.0,36.0,79.0,29.39,10.0,32.0,320.0,NW,,5.0,,,,0.0,,Low,32.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 12:38:00,observation,1546353480,KDTW,Detroit,1546346280,D,35.0,26.0,2600.0,Cloudy,,,29.0,35.0,78.0,29.4,10.0,30.0,320.0,NW,,6.0,,,,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 12:53:00,observation,1546354380,KDTW,Detroit,1546347180,D,35.0,26.0,2600.0,Cloudy,,,29.0,35.0,78.0,29.42,10.0,29.0,310.0,NW,,7.0,,,,0.0,,Low,29.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 13:53:00,observation,1546357980,KDTW,Detroit,1546350780,D,36.0,26.0,2600.0,Cloudy,,,30.0,36.0,79.0,29.46,9.0,30.0,310.0,NW,,7.0,,,,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 14:34:00,observation,1546360440,KDTW,Detroit,1546353240,D,36.0,26.0,2600.0,Cloudy,,,30.0,36.0,79.0,29.48,10.0,30.0,320.0,NW,,8.0,,,,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 14:53:00,observation,1546361580,KDTW,Detroit,1546354380,D,36.0,26.0,2600.0,Cloudy,1.0,Rising,30.0,36.0,79.0,29.5,9.0,30.0,320.0,NW,,7.0,,,,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 15:27:00,observation,1546363620,KDTW,Detroit,1546356420,D,37.0,26.0,2600.0,Cloudy,,,29.0,37.0,73.0,29.51,10.0,37.0,310.0,NW,,3.0,,,,0.0,,Low,37.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 15:53:00,observation,1546365180,KDTW,Detroit,1546357980,D,37.0,26.0,2600.0,Cloudy,,,29.0,37.0,73.0,29.52,10.0,32.0,320.0,NW,,6.0,,,,0.0,,Low,32.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 16:53:00,observation,1546368780,KDTW,Detroit,1546361580,D,37.0,26.0,2600.0,Cloudy,,,29.0,37.0,73.0,29.51,10.0,31.0,340.0,NNW,,8.0,,,,0.0,,Low,31.0,1,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 17:53:00,observation,1546372380,KDTW,Detroit,1546365180,D,36.0,26.0,2600.0,Cloudy,1.0,Rising,29.0,36.0,76.0,29.51,9.0,29.0,340.0,NNW,,9.0,,,,0.0,,Low,29.0,1,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 18:53:00,observation,1546375980,KDTW,Detroit,1546368780,D,35.0,26.0,2600.0,Cloudy,,,29.0,35.0,78.0,29.51,8.0,29.0,330.0,NNW,,8.0,,,,0.0,,Low,29.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 19:53:00,observation,1546379580,KDTW,Detroit,1546372380,D,33.0,14.0,1601.0,Light Snow,,,28.0,33.0,82.0,29.54,3.0,26.0,30.0,NNE,,8.0,,,,0.0,,Low,26.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 20:08:00,observation,1546380480,KDTW,Detroit,1546373280,D,32.0,14.0,1601.0,Light Snow,,,28.0,32.0,85.0,29.54,2.0,25.0,20.0,NNE,,8.0,,,,0.0,,Low,25.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 20:11:00,observation,1546380660,KDTW,Detroit,1546373460,D,32.0,14.0,1601.0,Light Snow,,,28.0,32.0,85.0,29.54,1.0,25.0,30.0,NNE,,8.0,,,,0.0,,Low,25.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 20:53:00,observation,1546383180,KDTW,Detroit,1546375980,D,32.0,14.0,1601.0,Light Snow,1.0,Rising Rapidly,28.0,32.0,85.0,29.56,1.0,24.0,20.0,NNE,,9.0,,,,0.01,,Low,24.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 20:57:00,observation,1546383420,KDTW,Detroit,1546376220,D,32.0,14.0,1601.0,Light Snow,,,28.0,32.0,85.0,29.56,1.0,25.0,20.0,NNE,,8.0,,,,0.0,,Low,25.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 21:49:00,observation,1546386540,KDTW,Detroit,1546379340,D,30.0,14.0,1601.0,Light Snow,,,28.0,30.0,93.0,29.57,2.0,22.0,40.0,NE,,9.0,,,,0.0,,Low,22.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 21:53:00,observation,1546386780,KDTW,Detroit,1546379580,D,31.0,14.0,1601.0,Light Snow,,,28.0,31.0,89.0,29.57,2.0,23.0,30.0,NNE,,9.0,,,,0.0,,Low,23.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 22:08:00,observation,1546387680,KDTW,Detroit,1546380480,D,30.0,7.0,720.0,Wintry Mix,,,27.0,30.0,88.0,29.57,2.0,22.0,60.0,ENE,,8.0,,,,0.0,,Low,22.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 22:53:00,observation,1546390380,KDTW,Detroit,1546383180,N,29.0,7.0,720.0,Wintry Mix,,,26.0,29.0,89.0,29.58,2.0,20.0,60.0,ENE,,9.0,,,,0.01,,Low,20.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 23:00:00,observation,1546390800,KDTW,Detroit,1546383600,N,29.0,7.0,720.0,Wintry Mix,,,26.0,29.0,89.0,29.58,2.0,21.0,70.0,ENE,,8.0,,,,0.0,,Low,21.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-01 23:53:00,observation,1546393980,KDTW,Detroit,1546386780,N,28.0,7.0,720.0,Wintry Mix,1.0,Rising,25.0,28.0,88.0,29.59,2.0,19.0,60.0,ENE,,9.0,,,,0.01,,Low,19.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-02 00:53:00,observation,1546397580,KDTW,Detroit,1546390380,N,28.0,7.0,720.0,Wintry Mix,,,25.0,28.0,88.0,29.61,2.0,21.0,40.0,NE,,7.0,,,,0.0,,Low,21.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-02 01:53:00,observation,1546401180,KDTW,Detroit,1546393980,N,28.0,7.0,720.0,Wintry Mix,,,24.0,28.0,85.0,29.61,2.0,21.0,30.0,NNE,,7.0,,,,0.0,,Low,21.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-02 02:00:00,observation,1546401600,KDTW,Detroit,1546394400,N,28.0,7.0,720.0,Wintry Mix,,,24.0,28.0,85.0,29.61,2.0,19.0,30.0,NNE,,9.0,,,,0.0,,Low,19.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-02 02:08:00,observation,1546402080,KDTW,Detroit,1546394880,N,27.0,7.0,720.0,Wintry Mix,,,24.0,27.0,89.0,29.61,3.0,19.0,30.0,NNE,,8.0,,,,0.0,,Low,19.0,0,,,,,OVC,,,,,,,,,
KDTW,2019-01-02 02:21:00,observation,1546402860,KDTW,Detroit,1546395660,N,27.0,7.0,720.0,Wintry Mix,,,24.0,27.0,89.0,29.61,2.0,19.0,20.0,NNE,,8.0,,,,0.0,,Low,19.0,0,,,,,OVC,,,,,,,,,
