key,date,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KEWR,2019-01-01 05:51:00,observation,1546329060,KEWR,Newark,1546321860,N,46,11,1201,Light Rain,2.0,Falling,46.0,46.0,100.0,29.73,3.0,46.0,,CALM,,0.0,,,,0.06,,Low,46.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 06:51:00,observation,1546332660,KEWR,Newark,1546325460,N,47,11,1201,Light Rain,,,46.0,47.0,97.0,29.67,3.0,47.0,,CALM,,0.0,,,,0.02,,Low,47.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 07:45:00,observation,1546335900,KEWR,Newark,1546328700,N,46,20,2000,Fog,,,46.0,46.0,100.0,29.62,2.0,46.0,230.0,SW,,3.0,,,,0.01,,Low,46.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 07:51:00,observation,1546336260,KEWR,Newark,1546329060,N,47,20,2000,Fog,,,47.0,47.0,100.0,29.62,2.0,45.0,250.0,WSW,,5.0,,,,0.01,,Low,45.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 08:15:00,observation,1546337700,KEWR,Newark,1546330500,N,47,11,1201,Light Rain,,,47.0,47.0,100.0,29.63,1.0,44.0,280.0,W,,6.0,,,,0.0,,Low,44.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 08:20:00,observation,1546338000,KEWR,Newark,1546330800,N,47,20,2000,Fog,,,47.0,47.0,100.0,29.63,1.0,44.0,290.0,WNW,,6.0,,,,0.0,,Low,44.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 08:51:00,observation,1546339860,KEWR,Newark,1546332660,N,51,9,901,Light Drizzle,2.0,Falling,51.0,51.0,100.0,29.61,1.0,51.0,240.0,WSW,,13.0,,,,0.0,,Low,51.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 08:55:00,observation,1546340100,KEWR,Newark,1546332900,N,51,9,901,Light Drizzle,,,51.0,51.0,100.0,29.6,3.0,51.0,250.0,WSW,,10.0,,,,0.0,,Low,51.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 09:41:00,observation,1546342860,KEWR,Newark,1546335660,N,52,26,2600,Cloudy,,,52.0,52.0,100.0,29.58,3.0,52.0,220.0,SW,,8.0,,,,0.01,,Low,52.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 09:51:00,observation,1546343460,KEWR,Newark,1546336260,N,52,26,2600,Cloudy,,,52.0,52.0,100.0,29.58,6.0,52.0,240.0,WSW,,10.0,,,,0.01,,Low,52.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 10:51:00,observation,1546347060,KEWR,Newark,1546339860,N,56,26,2600,Cloudy,,,54.0,56.0,93.0,29.61,10.0,56.0,250.0,WSW,,15.0,,,,0.0,,Low,56.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 11:14:00,observation,1546348440,KEWR,Newark,1546341240,N,56,26,2600,Cloudy,,,54.0,56.0,93.0,29.61,10.0,56.0,250.0,WSW,,16.0,,,,0.0,,Low,56.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 11:51:00,observation,1546350660,KEWR,Newark,1546343460,D,56,28,2800,Mostly Cloudy,2.0,Falling,53.0,56.0,90.0,29.6,10.0,56.0,240.0,WSW,28.0,18.0,,,1.37,0.0,,Low,56.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-01 12:51:00,observation,1546354260,KEWR,Newark,1546347060,D,56,26,2600,Cloudy,,,53.0,56.0,90.0,29.63,10.0,56.0,230.0,SW,,17.0,,,,0.0,,Low,56.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 13:51:00,observation,1546357860,KEWR,Newark,1546350660,D,58,26,2600,Cloudy,,,52.0,58.0,81.0,29.67,10.0,58.0,250.0,WSW,31.0,17.0,,,,0.0,,Low,58.0,0,,,,,OVC,,,,,,,,,
KEWR,2019-01-01 14:51:00,observation,1546361460,KEWR,Newark,1546354260,D,58,28,2890,Mostly Cloudy / Windy,1.0,Rising Rapidly,48.0,58.0,70.0,29.71,10.0,58.0,270.0,W,36.0,24.0,,,,0.0,,Low,58.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-01 15:51:00,observation,1546365060,KEWR,Newark,1546357860,D,58,28,2890,Mostly Cloudy / Windy,,,45.0,58.0,62.0,29.75,10.0,58.0,270.0,W,31.0,22.0,,,,0.0,,Low,58.0,1,,,,,BKN,,,,,,,,,
KEWR,2019-01-01 16:51:00,observation,1546368660,KEWR,Newark,1546361460,D,57,28,2800,Mostly Cloudy,,,41.0,57.0,55.0,29.78,10.0,57.0,320.0,NW,29.0,20.0,,,,0.0,,Low,57.0,1,,,,,BKN,,,,,,,,,
KEWR,2019-01-01 17:51:00,observation,1546372260,KEWR,Newark,1546365060,D,56,28,2890,Mostly Cloudy / Windy,1.0,Rising,37.0,56.0,49.0,29.8,10.0,56.0,330.0,NNW,35.0,29.0,,,,0.0,,Low,56.0,1,,,,,BKN,,,,,,,,,
KEWR,2019-01-01 18:51:00,observation,1546375860,KEWR,Newark,1546368660,D,54,28,2890,Mostly Cloudy / Windy,,,35.0,54.0,49.0,29.85,10.0,54.0,310.0,NW,32.0,23.0,,,,0.0,,Low,54.0,1,,,,,BKN,,,,,,,,,
KEWR,2019-01-01 19:51:00,observation,1546379460,KEWR,Newark,1546372260,D,50,28,2890,Mostly Cloudy / Windy,,,34.0,50.0,54.0,29.92,10.0,50.0,320.0,NW,32.0,24.0,,,,0.0,,Low,50.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-01 20:51:00,observation,1546383060,KEWR,Newark,1546375860,D,49,28,2800,Mostly Cloudy,1.0,Rising Rapidly,32.0,49.0,52.0,29.97,10.0,43.0,320.0,NW,35.0,17.0,,,,0.0,,Low,43.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-01 21:51:00,observation,1546386660,KEWR,Newark,1546379460,N,47,27,2700,Mostly Cloudy,,,31.0,47.0,54.0,30.01,10.0,41.0,320.0,NW,22.0,14.0,,,,0.0,,Low,41.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-01 22:51:00,observation,1546390260,KEWR,Newark,1546383060,N,46,27,2700,Mostly Cloudy,,,31.0,46.0,56.0,30.04,10.0,40.0,320.0,NW,23.0,15.0,,,,0.0,,Low,40.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-01 23:51:00,observation,1546393860,KEWR,Newark,1546386660,N,45,27,2700,Mostly Cloudy,1.0,Rising,31.0,45.0,58.0,30.07,10.0,39.0,330.0,NNW,,12.0,,,,0.0,,Low,39.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 00:51:00,observation,1546397460,KEWR,Newark,1546390260,N,44,27,2700,Mostly Cloudy,,,31.0,44.0,60.0,30.1,10.0,37.0,330.0,NNW,,14.0,,,,0.0,,Low,37.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 01:51:00,observation,1546401060,KEWR,Newark,1546393860,N,44,27,2700,Mostly Cloudy,,,30.0,44.0,58.0,30.12,10.0,37.0,330.0,NNW,23.0,15.0,,,,0.0,,Low,37.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 02:51:00,observation,1546404660,KEWR,Newark,1546397460,N,43,27,2700,Mostly Cloudy,0.0,Steady,27.0,43.0,53.0,30.12,10.0,35.0,320.0,NW,,17.0,,,,0.0,,Low,35.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 03:51:00,observation,1546408260,KEWR,Newark,1546401060,N,42,27,2700,Mostly Cloudy,,,26.0,42.0,53.0,30.13,10.0,35.0,320.0,NW,,13.0,,,,0.0,,Low,35.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 04:51:00,observation,1546411860,KEWR,Newark,1546404660,N,40,27,2700,Mostly Cloudy,,,25.0,40.0,55.0,30.15,10.0,34.0,340.0,NNW,,8.0,58.0,40.0,,0.0,,Low,34.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 05:51:00,observation,1546415460,KEWR,Newark,1546408260,N,39,27,2700,Mostly Cloudy,1.0,Rising Rapidly,24.0,39.0,55.0,30.17,10.0,31.0,330.0,NNW,,15.0,,,,0.0,,Low,31.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 06:51:00,observation,1546419060,KEWR,Newark,1546411860,N,38,27,2700,Mostly Cloudy,,,23.0,38.0,55.0,30.2,10.0,29.0,320.0,NW,,15.0,,,,0.0,,Low,29.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 07:51:00,observation,1546422660,KEWR,Newark,1546415460,N,36,27,2700,Mostly Cloudy,,,25.0,36.0,64.0,30.23,10.0,28.0,350.0,N,,10.0,,,,0.0,,Low,28.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 08:51:00,observation,1546426260,KEWR,Newark,1546419060,N,36,27,2700,Mostly Cloudy,1.0,Rising,23.0,36.0,59.0,30.23,10.0,28.0,340.0,NNW,,10.0,,,,0.0,,Low,28.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 09:51:00,observation,1546429860,KEWR,Newark,1546422660,N,35,27,2700,Mostly Cloudy,,,23.0,35.0,61.0,30.23,10.0,27.0,340.0,NNW,,12.0,,,,0.0,,Low,27.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 10:51:00,observation,1546433460,KEWR,Newark,1546426260,N,35,27,2700,Mostly Cloudy,,,22.0,35.0,59.0,30.26,10.0,29.0,350.0,N,,7.0,,,,0.0,,Low,29.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 11:51:00,observation,1546437060,KEWR,Newark,1546429860,D,35,28,2800,Mostly Cloudy,1.0,Rising Rapidly,21.0,35.0,57.0,30.3,10.0,28.0,320.0,NW,,9.0,,,,0.0,,Low,28.0,0,,,,,BKN,,,,,,,,,
KEWR,2019-01-02 12:51:00,observation,1546440660,KEWR,Newark,1546433460,D,35,26,2600,Cloudy,,,21.0,35.0,57.0,30.31,10.0,31.0,330.0,NNW,,5.0,,,,0.0,,Low,31.0,0,,,,,OVC,,,,,,,,,
