key,date,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KFLL,2019-01-02 05:53:00,observation,1546415580,KFLL,Fort Lauderdale,1546408380,N,75.0,33.0,3300.0,Fair,2.0,Falling Rapidly,68.0,75.0,79.0,30.14,10.0,75.0,120.0,ESE,,7.0,,,,0.0,,Low,75.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 06:53:00,observation,1546419180,KFLL,Fort Lauderdale,1546411980,N,75.0,33.0,3300.0,Fair,,,69.0,75.0,82.0,30.13,10.0,75.0,120.0,ESE,,9.0,,,,0.0,,Low,75.0,0,,,,,FEW,,,,,,,,,
KFLL,2019-01-02 07:53:00,observation,1546422780,KFLL,Fort Lauderdale,1546415580,N,74.0,33.0,3300.0,Fair,,,69.0,74.0,85.0,30.13,10.0,74.0,120.0,ESE,,5.0,,,,0.0,,Low,74.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 08:53:00,observation,1546426380,KFLL,Fort Lauderdale,1546419180,N,73.0,33.0,3300.0,Fair,2.0,Falling,69.0,73.0,87.0,30.12,10.0,73.0,130.0,SE,,6.0,,,,0.0,,Low,73.0,0,,,,,FEW,,,,,,,,,
KFLL,2019-01-02 09:53:00,observation,1546429980,KFLL,Fort Lauderdale,1546422780,N,73.0,33.0,3300.0,Fair,,,70.0,73.0,90.0,30.12,10.0,73.0,140.0,SE,,7.0,,,,0.0,,Low,73.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 10:53:00,observation,1546433580,KFLL,Fort Lauderdale,1546426380,N,74.0,33.0,3300.0,Fair,,,70.0,74.0,87.0,30.12,10.0,74.0,130.0,SE,,9.0,,,,0.0,,Low,74.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 11:53:00,observation,1546437180,KFLL,Fort Lauderdale,1546429980,D,73.0,34.0,3400.0,Fair,1.0,Rising Rapidly,68.0,73.0,84.0,30.14,10.0,73.0,130.0,SE,,8.0,,,,0.0,,Low,73.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 12:53:00,observation,1546440780,KFLL,Fort Lauderdale,1546433580,D,76.0,34.0,3400.0,Fair,,,68.0,76.0,76.0,30.17,10.0,76.0,130.0,SE,,6.0,,,,0.0,,Low,76.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 13:53:00,observation,1546444380,KFLL,Fort Lauderdale,1546437180,D,78.0,34.0,3400.0,Fair,,,69.0,80.0,74.0,30.19,10.0,78.0,130.0,SE,,10.0,,,,0.0,,Low,80.0,1,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 14:53:00,observation,1546447980,KFLL,Fort Lauderdale,1546440780,D,79.0,34.0,3400.0,Fair,1.0,Rising,69.0,82.0,72.0,30.19,10.0,79.0,110.0,ESE,,12.0,,,,0.0,,Low,82.0,2,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 15:53:00,observation,1546451580,KFLL,Fort Lauderdale,1546444380,D,80.0,34.0,3400.0,Fair,,,69.0,83.0,69.0,30.18,10.0,80.0,130.0,SE,,14.0,,,,0.0,,Moderate,83.0,4,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 16:53:00,observation,1546455180,KFLL,Fort Lauderdale,1546447980,D,80.0,34.0,3400.0,Fair,,,69.0,83.0,69.0,30.15,10.0,80.0,120.0,ESE,,13.0,,,,0.0,,Moderate,83.0,5,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 17:53:00,observation,1546458780,KFLL,Fort Lauderdale,1546451580,D,80.0,34.0,3400.0,Fair,2.0,Falling Rapidly,68.0,83.0,67.0,30.11,10.0,80.0,120.0,ESE,,15.0,,,,0.0,,Moderate,83.0,5,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 18:53:00,observation,1546462380,KFLL,Fort Lauderdale,1546455180,D,81.0,34.0,3400.0,Fair,,,68.0,84.0,65.0,30.1,10.0,81.0,110.0,ESE,,13.0,,,,0.0,,Moderate,84.0,4,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 19:53:00,observation,1546465980,KFLL,Fort Lauderdale,1546458780,D,80.0,34.0,3400.0,Fair,,,69.0,83.0,69.0,30.09,10.0,80.0,100.0,E,,10.0,,,,0.0,,Low,83.0,2,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 20:53:00,observation,1546469580,KFLL,Fort Lauderdale,1546462380,D,80.0,34.0,3400.0,Fair,0.0,Steady,70.0,83.0,71.0,30.1,10.0,80.0,130.0,SE,,13.0,,,,0.0,,Low,83.0,1,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 21:53:00,observation,1546473180,KFLL,Fort Lauderdale,1546465980,D,79.0,34.0,3400.0,Fair,,,71.0,82.0,77.0,30.09,10.0,79.0,110.0,ESE,,15.0,,,,0.0,,Low,82.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 22:53:00,observation,1546476780,KFLL,Fort Lauderdale,1546469580,N,77.0,33.0,3300.0,Fair,,,70.0,79.0,79.0,30.09,10.0,77.0,120.0,ESE,,12.0,,,,0.0,,Low,79.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-02 23:53:00,observation,1546480380,KFLL,Fort Lauderdale,1546473180,N,77.0,33.0,3300.0,Fair,1.0,Rising Rapidly,71.0,79.0,82.0,30.1,10.0,77.0,110.0,ESE,,15.0,,,,0.0,,Low,79.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-03 00:53:00,observation,1546483980,KFLL,Fort Lauderdale,1546476780,N,77.0,33.0,3300.0,Fair,,,70.0,79.0,79.0,30.11,10.0,77.0,120.0,ESE,,13.0,,,,0.0,,Low,79.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-03 01:53:00,observation,1546487580,KFLL,Fort Lauderdale,1546480380,N,76.0,33.0,3300.0,Fair,,,71.0,76.0,85.0,30.12,10.0,76.0,120.0,ESE,,14.0,,,,0.0,,Low,76.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-03 02:53:00,observation,1546491180,KFLL,Fort Lauderdale,1546483980,N,76.0,33.0,3300.0,Fair,2.0,Falling Rapidly,72.0,76.0,87.0,30.09,10.0,76.0,120.0,ESE,,14.0,,,,0.0,,Low,76.0,0,,,,,FEW,,,,,,,,,
KFLL,2019-01-03 03:53:00,observation,1546494780,KFLL,Fort Lauderdale,1546487580,N,76.0,29.0,2900.0,Partly Cloudy,,,73.0,76.0,91.0,30.07,10.0,76.0,120.0,ESE,25.0,17.0,,,,0.0,,Low,76.0,0,,,,,SCT,,,,,,,,,
KFLL,2019-01-03 04:20:00,observation,1546496400,KFLL,Fort Lauderdale,1546489200,N,76.0,27.0,2700.0,Mostly Cloudy,,,73.0,76.0,91.0,30.07,10.0,76.0,120.0,ESE,,17.0,,,,0.0,,Low,76.0,0,,,,,BKN,,,,,,,,,
KFLL,2019-01-03 04:53:00,observation,1546498380,KFLL,Fort Lauderdale,1546491180,N,76.0,27.0,2700.0,Mostly Cloudy,,,73.0,76.0,91.0,30.06,10.0,76.0,130.0,SE,,17.0,82.0,72.0,,0.0,,Low,76.0,0,,,,,BKN,,,,,,,,,
KFLL,2019-01-04 05:53:00,observation,1546588380,KFLL,Fort Lauderdale,1546581180,N,75.0,33.0,3300.0,Fair,2.0,Falling,73.0,75.0,94.0,30.03,10.0,75.0,,CALM,,0.0,,,,0.0,,Low,75.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-04 06:53:00,observation,1546591980,KFLL,Fort Lauderdale,1546584780,N,75.0,29.0,2900.0,Partly Cloudy,,,73.0,75.0,94.0,30.02,10.0,75.0,,CALM,,0.0,,,,0.0,,Low,75.0,0,,,,,SCT,,,,,,,,,
KFLL,2019-01-04 07:53:00,observation,1546595580,KFLL,Fort Lauderdale,1546588380,N,74.0,33.0,3300.0,Fair,,,73.0,74.0,97.0,30.01,10.0,74.0,,CALM,,0.0,,,,0.0,,Low,74.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-04 08:53:00,observation,1546599180,KFLL,Fort Lauderdale,1546591980,N,74.0,33.0,3300.0,Fair,0.0,Steady,73.0,74.0,97.0,30.01,10.0,74.0,,CALM,,0.0,,,,0.0,,Low,74.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-04 09:53:00,observation,1546602780,KFLL,Fort Lauderdale,1546595580,N,73.0,33.0,3300.0,Fair,,,72.0,73.0,96.0,30.0,10.0,73.0,150.0,SSE,,6.0,,,,0.0,,Low,73.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-04 10:53:00,observation,1546606380,KFLL,Fort Lauderdale,1546599180,N,73.0,33.0,3300.0,Fair,,,72.0,73.0,96.0,30.0,10.0,73.0,180.0,S,,6.0,,,,0.0,,Low,73.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-04 11:53:00,observation,1546609980,KFLL,Fort Lauderdale,1546602780,D,74.0,34.0,3400.0,Fair,0.0,Steady,72.0,74.0,93.0,30.0,10.0,74.0,160.0,SSE,,7.0,,,,0.0,,Low,74.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-04 12:53:00,observation,1546613580,KFLL,Fort Lauderdale,1546606380,D,75.0,34.0,3400.0,Fair,,,72.0,75.0,90.0,30.02,10.0,75.0,160.0,SSE,,6.0,,,,0.0,,Low,75.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-04 13:53:00,observation,1546617180,KFLL,Fort Lauderdale,1546609980,D,76.0,34.0,3400.0,Fair,,,72.0,76.0,87.0,30.02,10.0,76.0,170.0,S,,8.0,,,,0.0,,Low,76.0,1,,,,,CLR,,,,,,,,,
KFLL,2019-01-04 14:53:00,observation,1546620780,KFLL,Fort Lauderdale,1546613580,D,78.0,34.0,3400.0,Fair,1.0,Rising,72.0,80.0,81.0,30.02,10.0,78.0,160.0,SSE,24.0,17.0,,,,0.0,,Low,80.0,2,,,,,FEW,,,,,,,,,
KFLL,2019-01-04 15:53:00,observation,1546624380,KFLL,Fort Lauderdale,1546617180,D,80.0,34.0,3400.0,Fair,,,71.0,84.0,74.0,30.02,10.0,80.0,160.0,SSE,22.0,17.0,,,,0.0,,Moderate,84.0,3,,,,,FEW,,,,,,,,,
KFLL,2019-01-04 16:53:00,observation,1546627980,KFLL,Fort Lauderdale,1546620780,D,82.0,34.0,3400.0,Fair,,,71.0,86.0,69.0,29.99,10.0,82.0,200.0,SSW,,15.0,,,,0.0,,Moderate,86.0,4,,,,,FEW,,,,,,,,,
KFLL,2019-01-04 17:53:00,observation,1546631580,KFLL,Fort Lauderdale,1546624380,D,83.0,30.0,3000.0,Partly Cloudy,2.0,Falling Rapidly,71.0,88.0,67.0,29.96,10.0,83.0,210.0,SSW,,13.0,,,,0.0,,Moderate,88.0,3,,,,,SCT,,,,,,,,,
KFLL,2019-01-04 18:53:00,observation,1546635180,KFLL,Fort Lauderdale,1546627980,D,83.0,30.0,3000.0,Partly Cloudy,,,71.0,88.0,67.0,29.94,10.0,83.0,180.0,S,,15.0,,,,0.0,,Moderate,88.0,3,,,,,SCT,,,,,,,,,
KFLL,2019-01-04 19:53:00,observation,1546638780,KFLL,Fort Lauderdale,1546631580,D,84.0,30.0,3000.0,Partly Cloudy,,,69.0,88.0,61.0,29.93,10.0,84.0,220.0,SW,,12.0,,,,0.0,,Low,88.0,2,,,,,SCT,,,,,,,,,
KFLL,2019-01-04 20:53:00,observation,1546642380,KFLL,Fort Lauderdale,1546635180,D,84.0,34.0,3400.0,Fair,0.0,Steady,70.0,88.0,63.0,29.94,10.0,84.0,210.0,SSW,,15.0,,,,0.0,,Low,88.0,1,,,,,FEW,,,,,,,,,
KFLL,2019-01-04 21:53:00,observation,1546645980,KFLL,Fort Lauderdale,1546638780,D,82.0,34.0,3400.0,Fair,,,69.0,85.0,65.0,29.95,10.0,82.0,220.0,SW,,14.0,,,,0.0,,Low,85.0,0,,,,,FEW,,,,,,,,,
KFLL,2019-01-04 22:53:00,observation,1546649580,KFLL,Fort Lauderdale,1546642380,N,80.0,33.0,3300.0,Fair,,,70.0,83.0,71.0,29.97,10.0,80.0,230.0,SW,,10.0,,,,0.0,,Low,83.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-04 23:53:00,observation,1546653180,KFLL,Fort Lauderdale,1546645980,N,78.0,33.0,3300.0,Fair,1.0,Rising Rapidly,71.0,80.0,79.0,29.98,10.0,78.0,230.0,SW,,8.0,,,,0.0,,Low,80.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-05 00:53:00,observation,1546656780,KFLL,Fort Lauderdale,1546649580,N,77.0,33.0,3300.0,Fair,,,71.0,79.0,82.0,30.0,10.0,77.0,230.0,SW,,6.0,,,,0.0,,Low,79.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-05 01:53:00,observation,1546660380,KFLL,Fort Lauderdale,1546653180,N,76.0,33.0,3300.0,Fair,,,72.0,76.0,87.0,30.0,10.0,76.0,210.0,SSW,,7.0,,,,0.0,,Low,76.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-05 02:53:00,observation,1546663980,KFLL,Fort Lauderdale,1546656780,N,75.0,33.0,3300.0,Fair,0.0,Steady,73.0,75.0,94.0,29.99,10.0,75.0,210.0,SSW,,6.0,,,,0.0,,Low,75.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-05 03:53:00,observation,1546667580,KFLL,Fort Lauderdale,1546660380,N,74.0,33.0,3300.0,Fair,,,73.0,74.0,97.0,29.99,10.0,74.0,220.0,SW,,7.0,,,,0.0,,Low,74.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-05 04:53:00,observation,1546671180,KFLL,Fort Lauderdale,1546663980,N,74.0,33.0,3300.0,Fair,,,73.0,74.0,97.0,29.97,10.0,74.0,210.0,SSW,,7.0,84.0,73.0,,0.0,,Low,74.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-05 05:53:00,observation,1546674780,KFLL,Fort Lauderdale,1546667580,N,74.0,33.0,3300.0,Fair,2.0,Falling,74.0,74.0,100.0,29.97,10.0,74.0,190.0,S,,7.0,,,,0.0,,Low,74.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-05 06:53:00,observation,1546678380,KFLL,Fort Lauderdale,1546671180,N,75.0,33.0,3300.0,Fair,,,74.0,75.0,96.0,29.95,10.0,75.0,190.0,S,,9.0,,,,0.0,,Low,75.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-05 07:53:00,observation,1546681980,KFLL,Fort Lauderdale,1546674780,N,74.0,33.0,3300.0,Fair,,,73.0,74.0,97.0,29.95,10.0,74.0,210.0,SSW,,7.0,,,,0.0,,Low,74.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-05 08:53:00,observation,1546685580,KFLL,Fort Lauderdale,1546678380,N,74.0,29.0,2900.0,Partly Cloudy,0.0,Steady,72.0,74.0,93.0,29.95,10.0,74.0,230.0,SW,,7.0,,,,0.0,,Low,74.0,0,,,,,SCT,,,,,,,,,
KFLL,2019-01-05 09:53:00,observation,1546689180,KFLL,Fort Lauderdale,1546681980,N,73.0,33.0,3300.0,Fair,,,72.0,73.0,96.0,29.94,10.0,73.0,230.0,SW,,7.0,,,,0.0,,Low,73.0,0,,,,,CLR,,,,,,,,,
KFLL,2019-01-05 10:28:00,observation,1546691280,KFLL,Fort Lauderdale,1546684080,N,74.0,26.0,2600.0,Cloudy,,,73.0,74.0,97.0,29.95,10.0,74.0,260.0,W,,10.0,,,,0.0,,Low,74.0,0,,,,,OVC,,,,,,,,,
KFLL,2019-01-05 10:53:00,observation,1546692780,KFLL,Fort Lauderdale,1546685580,N,74.0,11.0,1201.0,Light Rain,,,73.0,74.0,97.0,29.96,10.0,74.0,280.0,W,,12.0,,,,0.0,,Low,74.0,0,,,,,BKN,,,,,,,,,
KFLL,2019-01-05 11:01:00,observation,1546693260,KFLL,Fort Lauderdale,1546686060,N,74.0,11.0,1201.0,Light Rain,,,73.0,74.0,97.0,29.96,10.0,74.0,280.0,W,,10.0,,,,0.01,,Low,74.0,0,,,,,BKN,,,,,,,,,
KFLL,2019-01-05 11:03:00,observation,1546693380,KFLL,Fort Lauderdale,1546686180,N,74.0,11.0,1201.0,Light Rain,,,73.0,74.0,97.0,29.96,10.0,74.0,280.0,W,,10.0,,,,0.01,,Low,74.0,0,,,,,BKN,,,,,,,,,
KFLL,2019-01-05 11:33:00,observation,1546695180,KFLL,Fort Lauderdale,1546687980,N,74.0,26.0,2600.0,Cloudy,,,73.0,74.0,97.0,29.97,10.0,74.0,280.0,W,,10.0,,,,0.01,,Low,74.0,0,,,,,OVC,,,,,,,,,
