key,date,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KMSP,2019-01-01 06:53:00,observation,1546332780,KMSP,Minneapolis,1546325580,N,9.0,27,2700,Mostly Cloudy,,,-1.0,9.0,64.0,29.4,10.0,-9.0,10.0,N,,17.0,,,,0.0,,Low,-9.0,0,,,,,BKN,,,,,,,,,
KMSP,2019-01-01 07:53:00,observation,1546336380,KMSP,Minneapolis,1546329180,N,8.0,27,2700,Mostly Cloudy,,,-1.0,8.0,67.0,29.43,10.0,-10.0,350.0,N,22.0,16.0,,,,0.0,,Low,-10.0,0,,,,,BKN,,,,,,,,,
KMSP,2019-01-01 08:53:00,observation,1546339980,KMSP,Minneapolis,1546332780,N,6.0,27,2700,Mostly Cloudy,1.0,Rising,-2.0,6.0,69.0,29.45,10.0,-11.0,360.0,N,,14.0,,,,0.0,,Low,-11.0,0,,,,,BKN,,,,,,,,,
KMSP,2019-01-01 09:53:00,observation,1546343580,KMSP,Minneapolis,1546336380,N,5.0,33,3300,Fair,,,-3.0,5.0,70.0,29.47,10.0,-14.0,360.0,N,26.0,16.0,,,,0.0,,Low,-14.0,0,,,,,CLR,,,,,,,,,
KMSP,2019-01-01 10:53:00,observation,1546347180,KMSP,Minneapolis,1546339980,N,3.0,33,3300,Fair,,,-4.0,3.0,73.0,29.46,10.0,-13.0,350.0,N,,12.0,,,,0.0,,Low,-13.0,0,,,,,CLR,,,,,,,,,
KMSP,2019-01-01 11:53:00,observation,1546350780,KMSP,Minneapolis,1546343580,N,2.0,33,3300,Fair,1.0,Rising Rapidly,-6.0,2.0,69.0,29.49,10.0,-13.0,350.0,N,,9.0,,,0.01,0.0,,Low,-13.0,0,,,,,CLR,,,,,,,,,
KMSP,2019-01-01 12:53:00,observation,1546354380,KMSP,Minneapolis,1546347180,N,1.0,33,3300,Fair,,,-6.0,1.0,72.0,29.53,10.0,-15.0,350.0,N,,10.0,,,,0.0,,Low,-15.0,0,,,,,FEW,,,,,,,,,
KMSP,2019-01-01 13:53:00,observation,1546357980,KMSP,Minneapolis,1546350780,D,0.0,30,3000,Partly Cloudy,,,-7.0,0.0,72.0,29.56,10.0,-13.0,340.0,NNW,,7.0,,,,0.0,,Low,-13.0,0,,,,,SCT,,,,,,,,,
KMSP,2019-01-01 14:53:00,observation,1546361580,KMSP,Minneapolis,1546354380,D,0.0,30,3000,Partly Cloudy,1.0,Rising,-7.0,0.0,72.0,29.58,10.0,-14.0,340.0,NNW,,8.0,,,,0.0,,Low,-14.0,0,,,,,SCT,,,,,,,,,
KMSP,2019-01-01 15:53:00,observation,1546365180,KMSP,Minneapolis,1546357980,D,0.0,28,2800,Mostly Cloudy,,,-7.0,0.0,72.0,29.57,10.0,-16.0,350.0,N,,10.0,,,,0.0,,Low,-16.0,0,,,,,BKN,,,,,,,,,
