key,date,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KPHL,2019-01-01 05:12:00,observation,1546326720,KPHL,Philadelphia,1546319520,N,51.0,11,1201,Light Rain,,,51.0,51.0,100.0,29.78,8.0,51.0,200.0,SSW,,9.0,,,,0.02,,Low,51.0,0,,,,,OVC,,,,,,,,,
KPHL,2019-01-01 05:54:00,observation,1546329240,KPHL,Philadelphia,1546322040,N,52.0,11,1201,Light Rain,2.0,Falling Rapidly,51.0,52.0,97.0,29.75,8.0,52.0,220.0,SW,,8.0,,,,0.06,,Low,52.0,0,,,,,OVC,,,,,,,,,
KPHL,2019-01-01 06:51:00,observation,1546332660,KPHL,Philadelphia,1546325460,N,54.0,11,1201,Light Rain,,,52.0,54.0,94.0,29.71,9.0,54.0,230.0,SW,,16.0,,,,0.02,,Low,54.0,0,,,,,OVC,,,,,,,,,
KPHL,2019-01-01 06:54:00,observation,1546332840,KPHL,Philadelphia,1546325640,N,53.0,11,1201,Light Rain,,,52.0,53.0,96.0,29.71,9.0,53.0,230.0,SW,,15.0,,,,0.02,,Low,53.0,0,,,,,OVC,,,,,,,,,
KPHL,2019-01-01 07:52:00,observation,1546336320,KPHL,Philadelphia,1546329120,N,52.0,26,2600,Cloudy,,,52.0,52.0,100.0,29.69,5.0,52.0,240.0,WSW,,15.0,,,,0.01,,Low,52.0,0,,,,,OVC,,,,,,,,,
KPHL,2019-01-01 07:54:00,observation,1546336440,KPHL,Philadelphia,1546329240,N,52.0,26,2600,Cloudy,,,51.0,52.0,97.0,29.69,5.0,52.0,240.0,WSW,,15.0,,,,0.01,,Low,52.0,0,,,,,OVC,,,,,,,,,
KPHL,2019-01-01 08:02:00,observation,1546336920,KPHL,Philadelphia,1546329720,N,52.0,11,1201,Light Rain,,,51.0,52.0,97.0,29.69,1.0,52.0,240.0,WSW,,16.0,,,,0.0,,Low,52.0,0,,,,,OVC,,,,,,,,,
KPHL,2019-01-01 08:29:00,observation,1546338540,KPHL,Philadelphia,1546331340,N,53.0,26,2600,Cloudy,,,53.0,53.0,100.0,29.68,5.0,53.0,230.0,SW,,15.0,,,,0.0,,Low,53.0,0,,,,,OVC,,,,,,,,,
KPHL,2019-01-01 08:52:00,observation,1546339920,KPHL,Philadelphia,1546332720,N,54.0,26,2600,Cloudy,,,54.0,54.0,100.0,29.66,6.0,54.0,240.0,WSW,,9.0,,,,0.01,,Low,54.0,0,,,,,OVC,,,,,,,,,
KPHL,2019-01-01 08:54:00,observation,1546340040,KPHL,Philadelphia,1546332840,N,54.0,26,2600,Cloudy,2.0,Falling Rapidly,54.0,54.0,100.0,29.66,7.0,54.0,240.0,WSW,,12.0,,,,0.01,,Low,54.0,0,,,,,OVC,,,,,,,,,
