key,date,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KSFO,2019-01-01 08:56:00,observation,1546340160,KSFO,San Francisco,1546332960,N,51.0,33,3300,Fair,1.0,Rising Rapidly,26.0,51.0,38.0,30.09,10.0,51.0,360.0,N,,20.0,,,,0.0,,Low,51.0,0,,,,,CLR,,,,,,,,,
KSFO,2019-01-01 09:56:00,observation,1546343760,KSFO,San Francisco,1546336560,N,50.0,33,3300,Fair,,,26.0,50.0,39.0,30.11,10.0,50.0,10.0,N,,18.0,,,,0.0,,Low,50.0,0,,,,,CLR,,,,,,,,,
KSFO,2019-01-01 10:56:00,observation,1546347360,KSFO,San Francisco,1546340160,N,49.0,33,3390,Fair / Windy,,,28.0,49.0,44.0,30.14,10.0,42.0,10.0,N,,23.0,,,,0.0,,Low,42.0,0,,,,,CLR,,,,,,,,,
KSFO,2019-01-01 11:56:00,observation,1546350960,KSFO,San Francisco,1546343760,N,48.0,33,3390,Fair / Windy,1.0,Rising,27.0,48.0,44.0,30.15,10.0,41.0,360.0,N,,21.0,,,,0.0,,Low,41.0,0,,,,,CLR,,,,,,,,,
KSFO,2019-01-01 12:56:00,observation,1546354560,KSFO,San Francisco,1546347360,N,47.0,33,3300,Fair,,,22.0,47.0,37.0,30.16,10.0,44.0,30.0,NNE,,6.0,,,,0.0,,Low,44.0,0,,,,,CLR,,,,,,,,,
KSFO,2019-01-01 13:56:00,observation,1546358160,KSFO,San Francisco,1546350960,N,48.0,33,3300,Fair,,,25.0,48.0,41.0,30.19,10.0,43.0,90.0,E,,13.0,,,,0.0,,Low,43.0,0,,,,,CLR,,,,,,,,,
KSFO,2019-01-01 14:56:00,observation,1546361760,KSFO,San Francisco,1546354560,D,48.0,34,3400,Fair,1.0,Rising Rapidly,24.0,48.0,39.0,30.21,10.0,42.0,80.0,E,,14.0,,,,0.0,,Low,42.0,0,,,,,FEW,,,,,,,,,
KSFO,2019-01-01 15:56:00,observation,1546365360,KSFO,San Francisco,1546358160,D,47.0,30,3000,Partly Cloudy,,,22.0,47.0,37.0,30.24,10.0,42.0,70.0,ENE,,12.0,,,,0.0,,Low,42.0,0,,,,,SCT,,,,,,,,,
KSFO,2019-01-01 16:56:00,observation,1546368960,KSFO,San Francisco,1546361760,D,46.0,28,2800,Mostly Cloudy,,,22.0,46.0,39.0,30.25,10.0,41.0,130.0,SE,,12.0,,,,0.0,,Low,41.0,0,,,,,BKN,,,,,,,,,
KSFO,2019-01-01 17:56:00,observation,1546372560,KSFO,San Francisco,1546365360,D,47.0,28,2800,Mostly Cloudy,1.0,Rising,18.0,47.0,32.0,30.26,10.0,43.0,140.0,SE,,9.0,,,,0.0,,Low,43.0,1,,,,,BKN,,,,,,,,,
KSFO,2019-01-01 18:56:00,observation,1546376160,KSFO,San Francisco,1546368960,D,50.0,30,3000,Partly Cloudy,,,20.0,50.0,31.0,30.24,10.0,50.0,120.0,ESE,,9.0,,,,0.0,,Low,50.0,1,,,,,SCT,,,,,,,,,
KSFO,2019-01-01 19:56:00,observation,1546379760,KSFO,San Francisco,1546372560,D,50.0,30,3000,Partly Cloudy,,,22.0,50.0,33.0,30.25,10.0,50.0,,CALM,,0.0,,,,0.0,,Low,50.0,1,,,,,SCT,,,,,,,,,
KSFO,2019-01-01 20:56:00,observation,1546383360,KSFO,San Francisco,1546376160,D,52.0,30,3000,Partly Cloudy,2.0,Falling Rapidly,23.0,52.0,32.0,30.23,10.0,52.0,,CALM,,0.0,,,,0.0,,Low,52.0,1,,,,,SCT,,,,,,,,,
KSFO,2019-01-01 21:56:00,observation,1546386960,KSFO,San Francisco,1546379760,D,53.0,30,3000,Partly Cloudy,,,21.0,53.0,29.0,30.19,10.0,53.0,,CALM,,0.0,,,,0.0,,Low,53.0,1,,,,,SCT,,,,,,,,,
KSFO,2019-01-01 22:56:00,observation,1546390560,KSFO,San Francisco,1546383360,D,54.0,30,3000,Partly Cloudy,,,25.0,54.0,33.0,30.19,10.0,54.0,50.0,NE,,3.0,,,,0.0,,Low,54.0,1,,,,,SCT,,,,,,,,,
KSFO,2019-01-01 23:56:00,observation,1546394160,KSFO,San Francisco,1546386960,D,54.0,28,2800,Mostly Cloudy,0.0,Steady,21.0,54.0,28.0,30.2,10.0,54.0,,CALM,,0.0,,,,0.0,,Low,54.0,0,,,,,BKN,,,,,,,,,
KSFO,2019-01-02 00:56:00,observation,1546397760,KSFO,San Francisco,1546390560,D,53.0,30,3000,Partly Cloudy,,,18.0,53.0,25.0,30.19,10.0,53.0,170.0,S,,5.0,,,,0.0,,Low,53.0,0,,,,,SCT,,,,,,,,,
KSFO,2019-01-02 01:56:00,observation,1546401360,KSFO,San Francisco,1546394160,N,50.0,29,2900,Partly Cloudy,,,24.0,50.0,36.0,30.21,10.0,50.0,290.0,WNW,,5.0,,,,0.0,,Low,50.0,0,,,,,SCT,,,,,,,,,
KSFO,2019-01-02 02:56:00,observation,1546404960,KSFO,San Francisco,1546397760,N,47.0,29,2900,Partly Cloudy,1.0,Rising Rapidly,26.0,47.0,44.0,30.22,10.0,44.0,270.0,W,,7.0,,,,0.0,,Low,44.0,0,,,,,FEW,,,,,,,,,
KSFO,2019-01-02 03:56:00,observation,1546408560,KSFO,San Francisco,1546401360,N,49.0,33,3300,Fair,,,33.0,49.0,54.0,30.22,10.0,45.0,280.0,W,,8.0,,,,0.0,,Low,45.0,0,,,,,FEW,,,,,,,,,
KSFO,2019-01-02 04:56:00,observation,1546412160,KSFO,San Francisco,1546404960,N,49.0,33,3300,Fair,,,35.0,49.0,59.0,30.22,10.0,49.0,,CALM,,0.0,,,,0.0,,Low,49.0,0,,,,,FEW,,,,,,,,,
KSFO,2019-01-02 05:56:00,observation,1546415760,KSFO,San Francisco,1546408560,N,46.0,33,3300,Fair,2.0,Falling Rapidly,34.0,46.0,63.0,30.22,10.0,46.0,230.0,SW,,3.0,,,,0.0,,Low,46.0,0,,,,,FEW,,,,,,,,,
KSFO,2019-01-02 06:56:00,observation,1546419360,KSFO,San Francisco,1546412160,N,47.0,33,3300,Fair,,,36.0,47.0,66.0,30.21,10.0,47.0,,CALM,,0.0,,,,0.0,,Low,47.0,0,,,,,FEW,,,,,,,,,
KSFO,2019-01-02 07:56:00,observation,1546422960,KSFO,San Francisco,1546415760,N,44.0,33,3300,Fair,,,36.0,44.0,73.0,30.23,10.0,44.0,,CALM,,0.0,55.0,44.0,,0.0,,Low,44.0,0,,,,,FEW,,,,,,,,,
KSFO,2019-01-02 08:56:00,observation,1546426560,KSFO,San Francisco,1546419360,N,42.0,33,3300,Fair,1.0,Rising Rapidly,34.0,42.0,73.0,30.23,10.0,42.0,,CALM,,0.0,,,,0.0,,Low,42.0,0,,,,,FEW,,,,,,,,,
KSFO,2019-01-02 09:56:00,observation,1546430160,KSFO,San Francisco,1546422960,N,42.0,33,3300,Fair,,,35.0,42.0,76.0,30.24,10.0,42.0,,CALM,,0.0,,,,0.0,,Low,42.0,0,,,,,CLR,,,,,,,,,
